run_id,feature_set,model,n_features,auc_roc,pr_auc,sensitivity,specificity,accuracy,test_pos,test_neg,fold,train_rows,test_rows,train_pos,train_neg,train_subjects,test_subjects,train_single_class,best_params,best_inner_score
doe_v1_all_models,bp_only,logreg,10,,,,0.05401709401709401,0.05401709401709401,0,11700,1,40544,11700,649,39895,chb09;chb14;chb16;chb20;chb22;chb23,chb05,,,
doe_v1_all_models,bp_only,logreg,10,0.5379001359535286,0.009471078510508043,0.6321839080459698,0.5088172043010751,0.509960583786087,87,9300,2,42857,9387,562,42295,chb05;chb09;chb14;chb16;chb20;chb23,chb22,,,
doe_v1_all_models,bp_only,logreg,10,0.3806039269739123,0.010960084245368026,0.36641221374045524,0.41690626797009767,0.41615680942669375,131,8695,3,43418,8826,518,42900,chb05;chb09;chb14;chb16;chb22;chb23,chb20,,,
doe_v1_all_models,bp_only,logreg,10,0.891629143214509,0.23372895756121137,0.4756097560975552,0.9789743589743588,0.9737376300431362,82,7800,4,44362,7882,567,43795,chb05;chb09;chb16;chb20;chb22;chb23,chb14,,,
doe_v1_all_models,bp_only,logreg,10,0.38615684510421355,0.014810695937379272,0.15384615384615255,0.6510526315789472,0.6410520887055182,117,5700,5,46427,5817,532,45895,chb05;chb14;chb16;chb20;chb22;chb23,chb09,,,
doe_v1_all_models,bp_only,logreg,10,0.6183232118758434,0.011516596698901583,0.8461538461538298,0.4894736842105262,0.49269819193324055,52,5700,6,46492,5752,597,45895,chb05;chb09;chb14;chb20;chb22;chb23,chb16,,,
doe_v1_all_models,bp_only,logreg,10,0.3717201646090535,0.04523765018313348,0.027777777777777624,0.7903703703703701,0.7427083333333331,180,2700,7,49364,2880,469,48895,chb05;chb09;chb14;chb16;chb20;chb22,chb23,,,
doe_v1_all_models,bp_only,random_forest,10,,,,0.9835897435897434,0.9835897435897434,0,11700,1,40544,11700,649,39895,chb09;chb14;chb16;chb20;chb22;chb23,chb05,,,
doe_v1_all_models,bp_only,random_forest,10,0.6618545297243851,0.013030269943511016,0.0,0.9999999999999998,0.9907318632150846,87,9300,2,42857,9387,562,42295,chb05;chb09;chb14;chb16;chb20;chb23,chb22,,,
doe_v1_all_models,bp_only,random_forest,10,0.606958899780079,0.020769411267133192,0.0,0.9999999999999998,0.9851574892363469,131,8695,3,43418,8826,518,42900,chb05;chb09;chb14;chb16;chb22;chb23,chb20,,,
doe_v1_all_models,bp_only,random_forest,10,0.8234513758599125,0.05339772685780188,0.0,0.9999999999999999,0.9895965490992132,82,7800,4,44362,7882,567,43795,chb05;chb09;chb16;chb20;chb22;chb23,chb14,,,
doe_v1_all_models,bp_only,random_forest,10,0.5604251012145749,0.03586832131270322,0.0,0.9999999999999999,0.9798865394533263,117,5700,5,46427,5817,532,45895,chb05;chb14;chb16;chb20;chb22;chb23,chb09,,,
doe_v1_all_models,bp_only,random_forest,10,0.6300725371120108,0.012095892661768632,0.0,0.9996491228070173,0.9906119610570235,52,5700,6,46492,5752,597,45895,chb05;chb09;chb14;chb20;chb22;chb23,chb16,,,
doe_v1_all_models,bp_only,random_forest,10,0.47201234567901235,0.05708082712935329,0.0,0.9999999999999997,0.9374999999999997,180,2700,7,49364,2880,469,48895,chb05;chb09;chb14;chb16;chb20;chb22,chb23,,,
doe_v1_all_models,bp_only,svm,10,,,,0.9898290598290597,0.9898290598290597,0,11700,1,40544,11700,649,39895,chb09;chb14;chb16;chb20;chb22;chb23,chb05,,,
doe_v1_all_models,bp_only,svm,10,0.4170028426646891,0.007820375302768306,0.0,0.9988172043010751,0.989560029828486,87,9300,2,42857,9387,562,42295,chb05;chb09;chb14;chb16;chb20;chb23,chb22,,,
doe_v1_all_models,bp_only,svm,10,0.8734255450838203,0.11521071144302131,0.0,0.9999999999999998,0.9851574892363469,131,8695,3,43418,8826,518,42900,chb05;chb09;chb14;chb16;chb22;chb23,chb20,,,
doe_v1_all_models,bp_only,svm,10,0.7061038148843026,0.03889496651823391,0.012195121951219363,0.998076923076923,0.9878203501649326,82,7800,4,44362,7882,567,43795,chb05;chb09;chb16;chb20;chb22;chb23,chb14,,,
doe_v1_all_models,bp_only,svm,10,0.42181511470985156,0.019068662582596218,0.008547008547008475,0.9952631578947367,0.9754168815540655,117,5700,5,46427,5817,532,45895,chb05;chb14;chb16;chb20;chb22;chb23,chb09,,,
doe_v1_all_models,bp_only,svm,10,0.736497975708502,0.11189266377371163,0.3461538461538395,0.9682456140350876,0.9626216968011125,52,5700,6,46492,5752,597,45895,chb05;chb09;chb14;chb20;chb22;chb23,chb16,,,
doe_v1_all_models,bp_only,svm,10,0.6506707818930041,0.11648080326559418,0.0,0.9996296296296293,0.9371527777777775,180,2700,7,49364,2880,469,48895,chb05;chb09;chb14;chb16;chb20;chb22,chb23,,,
doe_v1_all_models,bp_only,gradient_boosting,10,,,,0.9669230769230768,0.9669230769230768,0,11700,1,40544,11700,649,39895,chb09;chb14;chb16;chb20;chb22;chb23,chb05,,,
doe_v1_all_models,bp_only,gradient_boosting,10,0.6599011247064639,0.02891742461982403,0.03448275862068926,0.9989247311827955,0.9899861510599763,87,9300,2,42857,9387,562,42295,chb05;chb09;chb14;chb16;chb20;chb23,chb22,,,
doe_v1_all_models,bp_only,gradient_boosting,10,0.6268909481188187,0.020704735329541847,0.0,0.999654974123059,0.9848175844096985,131,8695,3,43418,8826,518,42900,chb05;chb09;chb14;chb16;chb22;chb23,chb20,,,
doe_v1_all_models,bp_only,gradient_boosting,10,0.8277845528455285,0.07967282545889022,0.012195121951219363,0.9999999999999999,0.989723420451662,82,7800,4,44362,7882,567,43795,chb05;chb09;chb16;chb20;chb22;chb23,chb14,,,
doe_v1_all_models,bp_only,gradient_boosting,10,0.49822012295696505,0.025141787245196404,0.008547008547008475,0.9929824561403507,0.9731820526044351,117,5700,5,46427,5817,532,45895,chb05;chb14;chb16;chb20;chb22;chb23,chb09,,,
